Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,Overtime
1001,1,V,team_tor,1,2,1,4,5.5u15,5.5u20,0
1001,2,H,team_mtl,2,0,1,3,-130,-135,0
1001,3,V,team_wsh,1,1,2,4,5.5u15,5.5u30,0
1001,4,H,team_chi,2,1,3,6,-165,-175,0
1001,5,V,team_wpg,2,1,2,5,5.5u10,5.5u20,0
1001,6,H,team_edm,2,2,0,4,-145,-140,0
1002,51,V,team_tor,0,1,2,3,5.5o20,6,0
1002,52,H,team_phi,1,0,0,1,-134,-145,0
1002,53,V,team_buf,0,0,1,1,5.5u20,5.5u30,0
1002,54,H,team_det,2,0,0,2,-182,-210,0
1002,55,V,team_ana,0,0,1,1,-104,5.5o20,0
1002,56,H,team_col,1,3,2,6,5.5u15,-125,0
1003,1,V,team_cgy,3,1,0,4,5.5o04,5.5o25,0
1003,2,H,team_wsh,0,3,1,5,-195,-250,1
1003,3,V,team_njd,0,0,0,0,5.5o04,5.5u15,0
1003,4,H,team_pit,2,0,1,3,-185,-190,0
1003,5,V,team_tbl,0,1,0,1,5.5o04,5.5o15,0
1003,6,H,team_bos,1,1,1,3,-193,-210,0
1003,7,V,team_nsh,1,1,0,2,5o04,5o20,0
1003,8,H,team_stl,3,1,0,4,-185,-200,0
1003,9,V,team_lak,1,0,1,3,-104,-115,1
1003,10,H,team_min,2,0,0,2,5o10,5o20,0
1003,11,V,team_fla,1,0,3,4,5.5u15,5.5o15,0
1003,12,H,team_dal,0,1,1,2,-165,-155,0
1003,13,V,team_nyr,0,1,0,1,-104,5o30,0
1003,14,H,team_ari,1,1,2,4,5o20,-130,0
1003,15,V,team_van,1,0,0,1,5o15,5o40,0
1003,16,H,team_sjs,0,2,2,4,-125,-145,0
1004,51,V,team_ott,0,0,1,1,-120,-140,0
1004,52,H,team_buf,0,0,0,0,5.5o15,5.5u30,0
1004,53,V,team_nyi,1,1,1,4,5.5o04,-110,1
1004,54,H,team_njd,1,1,1,3,-115,5.5u25,0
1004,55,V,team_cgy,2,0,2,4,5.5o09,5.5o15,0
1004,56,H,team_cbj,2,0,1,3,-182,-205,0
1004,57,V,team_det,0,0,2,3,-115,-125,1
1004,58,H,team_car,1,1,0,2,5.5o15,5.5,0
1004,59,V,team_lak,1,0,2,3,-105,5.5u20,0
1004,60,H,team_wpg,1,1,3,5,5.5o04,-125,0
1004,61,V,team_nsh,0,1,0,1,5.5u20,5.5u25,0
1004,62,H,team_col,1,1,1,3,-156,-150,0
1005,1,V,team_phi,0,0,1,1,6u20,6u25,0
1005,2,H,team_mtl,1,0,3,4,-127,-125,0
1005,3,V,team_ott,2,2,0,4,5.5o15,5.5u35,0
1005,4,H,team_tor,2,1,1,5,-135,-140,1
1005,5,V,team_det,1,0,0,1,5.5u20,5.5u55,0
1005,6,H,team_bos,1,2,1,4,-145,-170,0
1005,7,V,team_cbj,0,0,2,3,5.5o04,5.5u15,1
1005,8,H,team_nyi,0,2,0,2,-125,-125,0
1005,9,V,team_buf,0,0,1,1,6u20,6u35,0
1005,10,H,team_pit,2,0,2,4,-220,-270,0
1005,11,V,team_tbl,0,0,2,3,5.5o20,5.5o30,1
1005,12,H,team_chi,0,2,0,2,-209,-230,0
1005,13,V,team_fla,0,0,0,0,5.5u20,5.5u40,0
1005,14,H,team_stl,1,4,2,7,-200,-210,0
1005,15,V,team_wsh,1,0,0,1,-104,-120,0
1005,16,H,team_dal,1,1,0,2,5.5o30,5.5o20,0
1005,17,V,team_ana,2,1,0,4,5o30,5o35,1
1005,18,H,team_min,1,1,1,3,-130,-145,0
1005,19,V,team_edm,1,1,0,2,5.5u15,5.5u30,0
1005,20,H,team_van,3,2,1,6,-151,-150,0
1005,21,V,team_ari,0,1,0,1,5.5u35,5.5u45,0
1005,22,H,team_sjs,3,0,1,4,-151,-155,0
1006,51,V,team_phi,0,1,0,1,5.5o30,5.5o15,0
1006,52,H,team_car,1,1,0,2,-120,-140,0
1006,53,V,team_ana,1,1,1,3,5.5o20,5.5o15,0
1006,54,H,team_wpg,2,0,0,2,-125,-150,0
1006,55,V,team_van,1,0,3,5,-145,-125,1
1006,56,H,team_cgy,1,1,2,4,5.5o04,5.5o15,0
1007,1,V,team_njd,2,1,1,4,5.5u20,5.5u35,0
1007,2,H,team_edm,0,0,4,5,-135,-120,1
1007,3,V,team_nyr,1,1,1,3,5o20,5o15,0
1007,4,H,team_lak,0,1,0,1,-145,-165,0
1008,51,V,team_col,0,1,1,2,6u20,6,0
1008,52,H,team_tor,0,1,0,1,-137,-135,0
1008,53,V,team_ari,0,1,0,1,5.5u20,5.5u20,0
1008,54,H,team_nyi,2,3,1,6,-125,-130,0
1008,55,V,team_fla,0,1,0,1,5.5o15,5.5o20,0
1008,56,H,team_phi,2,0,0,2,-155,-165,0
1008,57,V,team_car,0,1,1,2,5.5o25,5.5,0
1008,58,H,team_pit,1,1,3,5,-209,-220,0
1008,59,V,team_tbl,0,1,1,3,5.5u15,-120,1
1008,60,H,team_buf,0,2,0,2,-115,5.5u25,0
1008,61,V,team_min,1,1,0,2,5o25,5o25,0
1008,62,H,team_nsh,3,0,0,3,-110,-130,0
1008,63,V,team_njd,1,1,0,2,5.5u15,5.5u50,0
1008,64,H,team_van,0,2,0,3,-179,-180,1
1008,65,V,team_nyr,1,0,1,2,5o20,5o20,0
1008,66,H,team_sjs,2,4,3,9,-159,-170,0
1009,1,V,team_chi,1,1,0,2,5.5u25,5.5u40,0
1009,2,H,team_stl,1,1,1,3,-120,-120,0
1009,3,V,team_mtl,0,1,1,2,-130,-140,0
1009,4,H,team_cgy,2,1,0,3,5.5o15,5.5o35,0
1009,5,V,team_ott,0,1,2,3,5o20,5u15,0
1009,6,H,team_lak,3,0,0,4,-140,-175,1
1010,51,V,team_col,1,0,1,2,5.5u20,5.5u30,0
1010,52,H,team_bos,0,0,0,0,-165,-205,0
1010,53,V,team_cbj,3,1,0,4,-125,-115,0
1010,54,H,team_buf,1,0,0,1,5o20,5o30,0
1010,55,V,team_car,0,2,1,3,5.5o20,5.5o15,0
1010,56,H,team_wsh,1,1,0,2,-159,-175,0
1010,57,V,team_ari,1,1,2,4,5o20,5o30,0
1010,58,H,team_det,0,2,0,2,-164,-175,0
1010,59,V,team_fla,0,1,1,2,5.5o17,5.5o35,0
1010,60,H,team_tbl,2,2,3,7,-159,-180,0
1010,61,V,team_tor,0,2,2,4,5.5u10,-115,0
1010,62,H,team_nsh,0,0,0,0,-114,5.5u35,0
1010,63,V,team_wpg,1,0,0,1,5.5u10,5.5u20,0
1010,64,H,team_min,1,1,0,2,-125,-160,0
1010,65,V,team_mtl,0,2,2,4,5.5o15,5.5o20,0
1010,66,H,team_edm,0,1,0,1,-125,-130,0
1010,67,V,team_sjs,2,1,1,4,5.5u15,-125,0
1010,68,H,team_van,0,1,0,1,-125,5.5u30,0
1010,69,V,team_nyr,0,0,0,0,5.5u20,5.5u50,0
1010,70,H,team_ana,3,3,0,6,-137,-150,0
1011,1,V,team_ari,1,1,0,2,5.5u10,5.5,0
1011,2,H,team_phi,0,1,0,1,-143,-160,0
1011,3,V,team_lak,0,0,1,2,-125,-140,1
1011,4,H,team_car,0,0,1,1,5.5o04,5.5u35,0
1011,5,V,team_pit,2,1,0,3,-177,-205,0
1011,6,H,team_fla,2,2,2,6,5.5o20,5.5o30,0
1011,7,V,team_nyi,2,0,0,2,5.5o15,5.5o40,0
1011,8,H,team_chi,2,1,0,3,-175,-200,0
1011,9,V,team_dal,3,1,0,4,5.5o18,5.5u15,0
1011,10,H,team_wpg,0,0,1,1,-132,-115,0
1011,11,V,team_njd,1,1,0,2,-104,-125,0
1011,12,H,team_cgy,0,2,1,3,5.5u15,5.5u25,0
1012,51,V,team_bos,0,1,2,3,-120,-135,0
1012,52,H,team_cbj,1,0,0,1,5o15,5o25,0
1012,53,V,team_edm,2,1,2,5,5.5o15,5.5o20,0
1012,54,H,team_tor,2,1,2,6,-160,-180,1
1012,55,V,team_phi,0,1,1,2,5.5u20,5.5u35,0
1012,56,H,team_det,1,1,3,5,-160,-210,0
1012,57,V,team_pit,0,2,3,5,-130,-135,0
1012,58,H,team_tbl,1,2,1,4,5.5o15,5.5o40,0
1012,59,V,team_col,2,1,2,5,5.5o10,5.5,0
1012,60,H,team_wsh,0,0,1,1,-135,-120,0
1012,61,V,team_buf,0,0,1,1,5.5u20,5.5u30,0
1012,62,H,team_chi,1,1,0,2,-230,-265,0
1012,63,V,team_nyr,1,1,1,3,5o30,5o35,0
1012,64,H,team_stl,1,3,1,5,-193,-240,0
1012,65,V,team_nyi,0,2,0,2,5o30,5o40,0
1012,66,H,team_nsh,0,2,1,3,-115,-120,0
1012,67,V,team_dal,0,1,0,1,5o30,5o45,0
1012,68,H,team_min,2,2,1,5,-145,-170,0
1012,69,V,team_mtl,1,1,2,4,5.5u20,5.5u40,0
1012,70,H,team_van,0,1,0,1,-135,-135,0
1012,71,V,team_ott,2,0,0,2,5.5u20,5.5u35,0
1012,72,H,team_sjs,1,1,1,3,-170,-205,0
1013,1,V,team_ari,1,2,2,5,5o30,5.5u30,0
1013,2,H,team_car,1,2,0,3,-120,-120,0
1013,3,V,team_lak,0,2,1,3,-140,-140,0
1013,4,H,team_fla,0,0,0,0,5.5u30,5.5u40,0
1013,5,V,team_njd,0,0,0,0,5.5u25,5.5u35,0
1013,6,H,team_wpg,0,1,2,3,-140,-115,0
1013,7,V,team_ott,1,0,0,1,5.5u25,5.5u50,0
1013,8,H,team_ana,2,2,0,4,-150,-145,0
1014,51,V,team_det,1,2,0,3,5o25,5u15,0
1014,52,H,team_bos,1,0,1,2,-150,-160,0
1014,53,V,team_edm,1,0,1,2,5.5o20,6,0
1014,54,H,team_wsh,1,3,0,4,-160,-160,0
1014,55,V,team_min,1,1,0,2,-130,-155,0
1014,56,H,team_buf,0,1,0,1,5o20,5o20,0
1015,1,V,team_buf,0,2,1,4,5o20,5o30,1
1015,2,H,team_nyi,1,1,1,3,-185,-210,0
