Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,Overtime
1008,1,V,team_mtl,1,1,2,4,5.5u26,5.5u30,0
1008,2,H,team_tor,2,0,1,3,-115,-115,0
1008,3,V,team_phi,0,0,1,1,5.5u43,5.5u35,0
1008,4,H,team_bos,1,0,1,2,-195,-185,0
1008,5,V,team_sjs,1,3,0,4,5.5u47,5o36,0
1008,6,H,team_lak,0,0,0,0,-121,-150,0
1008,7,V,team_van,1,2,1,4,-131,-126,0
1008,8,H,team_cgy,0,2,0,2,5.5u43,5o40,0
1009,51,V,team_mtl,0,0,1,2,5.5u15,5.5u35,1
1009,52,H,team_wsh,1,0,0,1,-135,-145,0
1009,53,V,team_ana,1,2,1,4,5.5o20,5.5o15,0
1009,54,H,team_pit,3,2,1,6,-140,-145,0
1009,55,V,team_njd,1,2,3,6,5o30,5o25,0
1009,56,H,team_phi,0,3,1,4,-140,-115,0
1009,57,V,team_cbj,0,1,2,3,-125,-122,0
1009,58,H,team_buf,0,1,0,1,5.5u35,5o40,0
1009,59,V,team_bos,1,0,0,1,-115,-115,0
1009,60,H,team_det,0,2,0,2,5.5u40,5o25,0
1009,61,V,team_fla,0,1,1,2,5.5o15,5.5,0
1009,62,H,team_tbl,0,1,1,3,-180,-184,1
1009,63,V,team_ott,0,1,1,2,5.5u15,5.5u25,0
1009,64,H,team_nsh,0,0,3,3,-135,-140,0
1009,65,V,team_nyr,1,0,2,3,5.5u40,5o20,0
1009,66,H,team_stl,0,0,2,2,-160,-155,0
1009,67,V,team_chi,1,0,1,3,-120,-115,1
1009,68,H,team_dal,0,2,0,2,5.5o30,5.5o20,0
1009,69,V,team_col,0,0,0,0,5.5u45,5.5u50,0
1009,70,H,team_min,1,4,0,5,-140,-125,0
1009,71,V,team_cgy,2,0,3,5,5.5u15,5.5u25,0
1009,72,H,team_edm,1,1,0,2,-145,-140,0
1009,73,V,team_wpg,4,1,1,6,5.5u20,5.5u25,0
1009,74,H,team_ari,1,0,1,2,-145,-140,0
1010,1,V,team_nyi,2,1,2,5,-110,-130,0
1010,2,H,team_car,0,0,3,3,5.5u15,5.5u20,0
1011,51,V,team_wsh,2,1,1,4,5o35,5o15,0
1011,52,H,team_bos,0,0,0,0,-170,-165,0
1011,53,V,team_ana,0,1,2,3,5.5u15,5.5u30,0
1011,54,H,team_det,0,1,1,2,-120,-115,0
1011,55,V,team_njd,4,1,0,5,-120,-125,0
1011,56,H,team_fla,0,1,0,1,5o15,5o15,0
1011,57,V,team_car,2,0,1,3,5.5u20,5.5u20,0
1011,58,H,team_nyi,2,2,0,4,-175,-170,0
1011,59,V,team_nyr,0,1,1,2,-115,5o20,0
1011,60,H,team_cbj,2,1,2,5,5,-120,0
1011,61,V,team_pit,3,1,1,5,-135,-138,0
1011,62,H,team_tor,0,1,1,2,5.5o25,5.5o30,0
1011,63,V,team_ott,0,0,2,3,5.5o15,5.5o15,1
1011,64,H,team_tbl,1,0,1,2,-175,-180,0
1011,65,V,team_mtl,0,0,3,4,-105,5o60,1
1011,66,H,team_phi,3,0,0,3,5o40,-115,0
1011,67,V,team_cgy,0,0,1,1,5o25,5o35,0
1011,68,H,team_stl,2,2,0,4,-200,-217,0
1011,69,V,team_dal,1,0,0,1,5.5u35,5.5u30,0
1011,70,H,team_nsh,0,1,3,4,-120,-115,0
1011,71,V,team_buf,2,0,0,2,5.5u20,5.5u30,0
1011,72,H,team_chi,2,0,4,6,-250,-300,0
1011,73,V,team_lak,2,0,0,2,-140,-140,0
1011,74,H,team_ari,1,1,0,3,5o20,5o25,1
1011,75,V,team_min,1,1,1,3,5o25,5o25,0
1011,76,H,team_col,0,0,0,0,-130,-125,0
1011,77,V,team_edm,2,2,0,4,5o40,5o40,0
1011,78,H,team_van,1,2,1,5,-165,-190,1
1011,79,V,team_wpg,0,0,0,0,5.5,5.5u15,0
1011,80,H,team_sjs,2,1,0,3,-185,-185,0
1012,1,V,team_tor,1,5,0,6,5o30,5o45,0
1012,2,H,team_nyr,1,1,1,3,-170,-170,0
1012,3,V,team_wpg,0,1,0,1,5o20,5o19,0
1012,4,H,team_lak,2,2,0,4,-200,-195,0
1013,51,V,team_col,0,1,1,2,5.5u30,5o41,0
1013,52,H,team_bos,0,1,0,1,-170,-170,0
1013,53,V,team_ana,1,1,3,5,-160,-190,0
1013,54,H,team_buf,0,0,1,1,5.5u30,5.5u20,0
1013,55,V,team_mtl,1,0,0,1,5.5u45,5.5u45,0
1013,56,H,team_tbl,2,2,3,7,-140,-140,0
1013,57,V,team_ott,0,1,0,1,-110,-118,0
1013,58,H,team_fla,0,0,0,0,5.5,5.5u15,0
1014,1,V,team_nyi,1,1,4,6,5.5u25,5.5u35,0
1014,2,H,team_nyr,1,1,1,3,-160,-130,0
1014,3,V,team_sjs,3,1,1,6,-105,-115,1
1014,4,H,team_wsh,0,3,2,5,5.5u25,5o40,0
1014,5,V,team_ana,2,1,0,4,-115,-115,1
1014,6,H,team_phi,0,2,1,3,5.5o15,5.5o15,0
1014,7,V,team_dal,2,0,2,4,5.5u30,5.5u25,0
1014,8,H,team_cbj,0,2,0,2,-130,-120,0
1014,9,V,team_njd,0,1,1,2,5.5u20,5.5u40,0
1014,10,H,team_tbl,0,0,1,1,-135,-120,0
1014,11,V,team_col,1,1,0,2,5.5u25,5.5o20,0
1014,12,H,team_tor,1,0,1,3,-120,-120,1
1014,13,V,team_buf,1,1,1,4,5.5u35,5.5u45,1
1014,14,H,team_car,0,1,2,3,-170,-183,0
1014,15,V,team_cgy,1,1,0,3,5.5u30,5.5u35,1
1014,16,H,team_nsh,1,1,0,2,-175,-175,0
1014,17,V,team_edm,0,0,1,1,5o30,5o25,0
1014,18,H,team_lak,3,2,1,6,-210,-245,0
1015,51,V,team_cgy,0,1,0,2,5.5u15,5.5o20,1
1015,52,H,team_chi,0,0,1,1,-245,-280,0
1015,53,V,team_bos,1,1,0,3,-115,-120,1
1015,54,H,team_det,1,0,1,2,5,5u20,0
1015,55,V,team_edm,2,0,2,4,5.5u20,5.5,0
1015,56,H,team_ari,2,2,3,7,-170,-205,0
1016,1,V,team_sjs,0,2,1,3,5.5o20,-120,0
1016,2,H,team_nyi,0,1,2,4,-120,5.5o20,1
1016,3,V,team_dal,0,1,2,3,5.5,5.5o35,0
1016,4,H,team_pit,2,0,0,2,-170,-170,0
1016,5,V,team_njd,2,0,0,2,5.5u45,5o25,0
1016,6,H,team_wsh,2,1,3,6,-125,-131,0
1016,7,V,team_car,0,1,0,1,5.5u35,5o40,0
