Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,Overtime
1006,1,V,team_phi,2,0,0,2,5.5u15,5.5u30,0
1006,2,H,team_bos,1,0,0,1,-140,-130,0
1006,3,V,team_mtl,0,0,0,0,5.5u25,-115,0
1006,4,H,team_tor,0,1,1,2,-120,5.5u30,0
1006,5,V,team_pit,2,1,0,4,5.5u09,5.5u40,1
1006,6,H,team_van,1,1,1,3,-156,-150,0
1007,51,V,team_ana,0,1,0,1,5.5,5.5,0
1007,52,H,team_buf,2,2,0,4,-125,-135,0
1007,53,V,team_nyr,1,0,1,2,-104,5o25,0
1007,54,H,team_lak,1,0,1,3,5o20,-120,1
1007,55,V,team_ott,0,0,3,3,5.5o09,5.5o15,0
1007,56,H,team_det,1,3,1,5,-220,-230,0
1007,57,V,team_tbl,0,2,3,5,6u15,-115,0
1007,58,H,team_car,1,0,0,1,-115,6u20,0
1007,59,V,team_nsh,0,2,1,3,-104,5o40,0
1007,60,H,team_cbj,0,1,1,2,5o19,-120,0
1007,61,V,team_chi,0,0,1,1,-130,-130,0
1007,62,H,team_dal,0,2,0,2,5.5o09,5.5o15,0
1008,1,V,team_nyr,0,0,1,1,5.5u15,-140,0
1008,2,H,team_ana,1,0,0,2,-115,5.5u25,1
1008,3,V,team_buf,0,3,1,4,5.5u20,-110,0
1008,4,H,team_lak,0,1,1,2,-109,5.5u35,0
1008,5,V,team_ott,0,0,5,5,5.5u20,5.5u35,0
1008,6,H,team_tor,2,2,2,6,-166,-155,0
1008,7,V,team_tbl,0,1,0,1,5.5o09,5.5u20,0
1008,8,H,team_bos,0,2,2,4,-162,-145,0
1008,9,V,team_phi,1,0,2,3,-109,-115,0
1008,10,H,team_njd,0,0,0,0,5,5o15,0
1008,11,V,team_car,0,1,2,3,5.5,5.5,0
1008,12,H,team_wsh,0,2,1,4,-172,-200,1
1008,13,V,team_fla,2,0,0,2,5.5,5.5,0
1008,14,H,team_nyi,0,0,0,0,-120,-130,0
1008,15,V,team_nsh,1,0,3,4,5o15,5o25,0
1008,16,H,team_stl,1,0,1,2,-115,-145,0
1008,17,V,team_cbj,0,1,1,2,5.5u25,5.5u35,0
1008,18,H,team_min,2,2,0,4,-145,-135,0
1008,19,V,team_dal,0,1,1,2,5.5o20,5.5o20,0
1008,20,H,team_chi,1,2,2,5,-182,-180,0
1008,21,V,team_det,0,1,2,3,-151,-140,0
1008,22,H,team_col,0,0,0,0,6u15,6u20,0
1008,23,V,team_pit,0,4,1,5,-104,5.5u25,0
1008,24,H,team_cgy,1,0,2,3,5.5u15,-115,0
1008,25,V,team_ari,0,1,2,3,5.5u15,5.5u20,0
1008,26,H,team_sjs,2,4,0,6,-193,-200,0
1009,51,V,team_mtl,1,1,3,5,5.5u15,5.5u25,0
1009,52,H,team_wpg,0,0,1,1,-120,-115,0
1009,53,V,team_pit,1,0,0,1,-139,-130,0
1009,54,H,team_edm,0,0,1,2,5.5u09,5.5,1
1010,1,V,team_col,0,0,1,1,5.5o19,5.5u15,0
1010,2,H,team_bos,0,0,0,0,-240,-220,0
1010,3,V,team_car,0,2,0,2,5o09,5o30,0
1010,4,H,team_njd,1,1,2,4,-135,-125,0
1010,5,V,team_min,0,0,1,1,5.5o10,5.5u15,0
1010,6,H,team_nyi,2,0,0,2,-115,-120,0
1010,7,V,team_cgy,1,1,0,2,5.5,5.5u15,0
1010,8,H,team_stl,1,2,2,5,-130,-150,0
1010,9,V,team_ari,0,0,1,1,5.5u10,5.5u20,0
1010,10,H,team_dal,0,0,1,2,-125,-130,1
1010,11,V,team_van,1,0,2,3,-150,-145,0
1010,12,H,team_cbj,1,1,0,2,5.5,5.5u15,0
1010,13,V,team_tbl,2,1,2,5,5.5u10,5.5,0
1010,14,H,team_wsh,2,1,2,6,-160,-155,1
1011,51,V,team_fla,0,1,1,2,5.5u19,5.5u50,0
1011,52,H,team_pit,1,2,1,4,-169,-160,0
1011,53,V,team_min,2,0,1,3,5.5u25,5.5u20,0
1011,54,H,team_ott,0,1,2,4,-109,-135,1
1012,1,V,team_col,1,0,1,3,5.5,5.5u20,1
1012,2,H,team_cbj,0,1,1,2,-144,-135,0
1012,3,V,team_van,1,2,1,4,5.5u09,5.5u20,0
1012,4,H,team_phi,3,1,1,5,-125,-135,0
1012,5,V,team_bos,0,0,2,2,-125,-135,0
1012,6,H,team_car,0,1,2,3,5.5u32,5.5u35,0
1013,51,V,team_tbl,1,0,0,1,-125,-115,0
1013,52,H,team_nyi,4,1,0,5,6u20,5.5o20,0
1013,53,V,team_lak,1,0,0,1,5o09,-110,0
1013,54,H,team_njd,1,0,0,2,-120,5u15,1
1013,55,V,team_wsh,0,1,1,3,-117,-120,1
1013,56,H,team_pit,1,0,1,2,5.5u20,5.5o15,0
1013,57,V,team_cgy,3,1,0,4,5o30,5o35,0
1013,58,H,team_mtl,1,0,0,1,-125,-135,0
1013,59,V,team_col,2,1,4,7,5.5,5.5o15,0
1013,60,H,team_ott,1,0,0,1,-145,-150,0
1013,61,V,team_van,0,0,0,0,5.5,5.5o20,0
1013,62,H,team_det,0,2,0,2,-140,-145,0
1013,63,V,team_ari,3,1,1,5,5o25,5o30,0
1013,64,H,team_nsh,0,1,1,2,-156,-135,0
1013,65,V,team_edm,1,0,0,1,5.5u25,5.5u30,0
1013,66,H,team_min,0,1,0,2,-161,-155,1
1013,67,V,team_wpg,2,1,0,3,5.5o25,5.5o15,0
1013,68,H,team_chi,2,2,0,4,-198,-210,0
1013,69,V,team_stl,0,1,1,2,-104,-120,0
1013,70,H,team_dal,1,2,0,3,5.5u20,5.5u25,0
1014,1,V,team_car,2,1,1,4,5.5,5.5,0
1014,2,H,team_buf,2,0,1,3,-172,-190,0
1014,3,V,team_sjs,0,0,0,0,-104,-135,0
1014,4,H,team_ana,1,0,0,1,5.5,5.5o15,0
1015,51,V,team_cgy,2,0,0,2,5.5u20,5.5o15,0
1015,52,H,team_tor,0,2,1,3,-130,-125,0
1015,53,V,team_col,1,3,1,6,5.5u15,5.5u35,1
1015,54,H,team_mtl,1,2,2,5,-151,-140,0
1015,55,V,team_nyr,0,2,0,2,-120,-115,0
1015,56,H,team_nyi,1,1,2,4,5.5u25,5.5u35,0
1015,57,V,team_lak,1,0,1,3,5.5u25,5.5u45,1
1015,58,H,team_phi,1,0,1,2,-145,-125,0
1015,59,V,team_buf,2,0,1,3,5.5u15,5.5u15,0
1015,60,H,team_pit,0,1,1,2,-115,-125,0
1015,61,V,team_wpg,0,1,0,1,5.5o08,5.5o15,0
1015,62,H,team_ari,2,1,1,4,-149,-145,0
1015,63,V,team_ott,1,0,0,1,5.5o09,5.5o20,0
1015,64,H,team_wsh,2,0,0,2,-225,-250,0
1015,65,V,team_tbl,0,0,2,2,-104,-120,0
